ID,IsVIP,CountryCode,TotalUnits,TotalFee,Industry,Tenure,UsersCount,Churn,ChurnPerc,TicketsCount,TicketsPriorityMean,TicketsClosedCount,SLATimeUsedTotal,SLATimeUsedMean,SLAPercentageTotal,SLAPercentageMean,NonCompliantSLACount,RMACount,RMAUnitsCount,MDVRCount,FatigueMonitorCount,FuelSensorCount,PowerOnEventsCount,PricingCancelCount,ClosedBussCancelCount,NoPaymentCancelCount,SoldVehicleCancelCount,NoUsedVehicleCancelCount,MultHWCasesCancelCount,NoUsedCancelCount
356,0,US,99,2622.58,NULL,214,1,1,100.00,48,2.00,46,1778106,37043.00,138056,2876.00,48,8,18,22,0,0,40433,0,0,0,1,3,0,4
445,0,US,12,285.98,NULL,213,2,1,100.00,13,2.00,12,633918,48762.00,5021,386.00,13,0,0,0,0,0,10,0,0,0,0,0,0,0
727,0,US,28,325.00,NULL,208,4,0,73.97,17,2.00,15,2039657,127478.00,88664,5215.00,17,2,7,0,0,0,251,0,0,0,0,0,0,0
947,0,US,10,382.98,Utilities: Gas and Electric Industries,206,1,1,100.00,8,2.00,4,3846299,480787.00,84487,10560.00,8,0,0,0,0,0,9584,0,1,0,0,0,0,0
968,0,US,34,899.70,NULL,206,4,0,32.16,12,2.00,12,73045,6087.00,2987,248.00,12,1,1,0,0,0,3902,0,0,0,0,0,0,0
991,0,US,205,5848.05,NULL,205,6,0,25.28,26,2.00,25,1076529,41404.00,49372,1898.00,26,0,0,0,0,0,60204,0,0,0,0,0,0,0
1020,0,US,4,41.98,Automotive,205,1,0,95.40,3,2.00,3,2875,958.00,3,1.00,3,0,0,0,0,0,28,0,0,0,0,0,0,0
1057,0,US,33,139.93,NULL,205,4,0,99.19,37,2.00,35,2170011,63823.00,98894,2672.00,37,4,6,0,0,0,1244,0,0,0,1,4,0,1
1117,0,US,19,569.81,NULL,204,3,1,100.00,0,2.00,0,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1145,0,US,18,539.82,NULL,204,4,1,100.00,17,2.00,17,75120,4418.00,4067,239.00,17,2,8,0,0,0,237,0,0,0,0,0,0,2
1148,0,US,6,179.94,NULL,204,2,1,100.00,0,2.00,0,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1176,0,US,5,59.98,NULL,204,5,0,80.40,0,2.00,0,0,0.00,0,0.00,0,0,0,0,0,0,10,0,0,0,0,0,0,0
1187,0,US,7,209.93,NULL,204,2,0,20.40,5,2.00,5,163154,32630.00,7545,1509.00,5,0,0,0,0,0,700,0,0,0,0,0,0,0
1302,0,US,13,70.98,NULL,203,4,1,100.00,2,2.00,2,1838,919.00,68,34.00,2,0,0,0,0,0,46483,0,0,0,0,0,0,1
